PHC_ID,Primary Health Centre Name,Primary Health Centre Location,Mandal,Latitude,Longitude,PHC Full Name
1,Area Hospital,Vikarabad,Vikarabad,17.335756,77.907491,"Area Hospital, Vikarabad, Vikarabad"
2,Community Health Centre,Pargi,Pargi,17.178704,77.881032,"Community Health Centre, Pargi, Pargi"
3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal"
4,Community Health Centre,Marpally,Marpally,17.539171,77.764847,"Community Health Centre, Marpally, Marpally"
5,District Hospital,Tandur,Tandur,17.25493,77.5859803,"District Hospital, Tandur, Tandur"
6,PP Unit,Tandur,Tandur,17.265904,77.619613,"PP Unit, Tandur, Tandur"
7,Primary Health Centre,Patloor,Marpally,17.579466,77.796496,"Primary Health Centre, Patloor, Marpally"
8,Primary Health Centre,Mominpet,Mominpet,17.517518,77.896492,"Primary Health Centre, Mominpet, Mominpet"
9,Primary Health Centre,Nawabpet,Nawabpet,17.427463,77.962284,"Primary Health Centre, Nawabpet, Nawabpet"
10,Primary Health Centre,Siddaloor,Vikarabad,17.358712,77.991936,"Primary Health Centre, Siddaloor, Vikarabad"
11,Primary Health Centre,Chengomul,Pudur,17.255146,78.024649,"Primary Health Centre, Chengomul, Pudur"
12,Primary Health Centre,Pudur,Pudur,17.2652832,77.9574019,"Primary Health Centre, Pudur, Pudur"
13,Primary Health Centre,Kulkacherla,Kulkacherla,17.0157717,77.8758775,"Primary Health Centre, Kulkacherla, Kulkacherla"
14,Primary Health Centre,Doma,Dome,17.090412,77.836544,"Primary Health Centre, Doma, Dome"
15,Primary Health Centre,Chityal,Pargi,17.1244898,77.9682749,"Primary Health Centre, Chityal, Pargi"
16,Primary Health Centre,Dharur,Dharur,17.303668,77.775383,"Primary Health Centre, Dharur, Dharur"
17,Primary Health Centre,Nagasamander,Dharur,17.352184,77.723696,"Primary Health Centre, Nagasamander, Dharur"
18,Primary Health Centre,Bantwaram,Bantwaram,17.4413519,77.7074837,"Primary Health Centre, Bantwaram, Bantwaram"
19,Primary Health Centre,Yalal,Yalal,17.2132321,77.6435705,"Primary Health Centre, Yalal, Yalal"
20,Primary Health Centre,Peddemul,Peddemul,17.3363137,77.6587352,"Primary Health Centre, Peddemul, Peddemul"
21,Primary Health Centre,Kotepally,Kotepally,17.384471,77.745344,"Primary Health Centre, Kotepally, Kotepally"
22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.536656,"Primary Health Centre, Angadi Raichur, Kodangal"
23,Primary Health Centre,Bomraspet,Bomraspet,17.160565,77.739749,"Primary Health Centre, Bomraspet, Bomraspet"
24,Primary Health Centre,Basheerabad,Basheerabad,17.220143,77.423865,"Primary Health Centre, Basheerabad, Basheerabad"
25,Primary Health Centre,Navalga,Basheerabad,17.220143,77.423865,"Primary Health Centre, Navalga, Basheerabad"
26,Primary Health Centre,Doulthabad,Doulthabad,17.009963,77.561473,"Primary Health Centre, Doulthabad, Doulthabad"
27,Primary Health Centre,Gingurthy,Tandur,17.346473,77.544191,"Primary Health Centre, Gingurthy, Tandur"
