Latitude,Longitude,AWC Name,AWC_ID
17.093,77.6355,KODANGAL-1,1409001
17.1069,77.6244,KODANGAL-2,1409002
17.1038,77.6295,KODANGAL-3,1409003
17.0924,77.6362,KODANGAL-4,1409004
17.1171,77.6494,KODANGAL-5,1409005
17.112,77.6255,KODANGAL-6,1409006
17.1044,77.6323,KODANGAL-7,1409007
17.1069,77.6244,KODANGAL-8,1409008
17.1042,77.6219,KODANGAL-9,1409009
17.0924,77.6362,KODANGAL-10,1409010
17.1409,77.6054,KODANGAL-11,1409011
17.1069,77.6244,KODANGAL-12,1409012
17.095,77.6023,CHITLAPALLY-1,1409013
16.9873407,77.7109058,CHITLAPALLY-2,1409014
17.0957,77.6029,KHAJAAHMEDPALLY,1409015
17.102713,77.5975805,POSHAMMA TANDA,1409016
17.101,77.6156,KONDAREDDYPALLY,1409017
17.0957,77.6029,BULKA POOR,1409018
17.093739,77.5814639,INNANPALLY,1409019
17.0715,77.5929,CHINNA NANDIGAMA,1409020
17.08533,77.6391148,BURUJKHANPALLY,1409021
17.1104918,77.6218177,RAWALAPALLY-I,1409022
17.0472,77.5223,RAWALAPALLY-II,1409023
17.0559,77.4976,RAWALAPALLY-III,1409024
17.0472,77.5223,RAWALAPALLY-IV,1409025
17.0592,77.5083,INDANOOR-1,1409026
17.059,77.5082,INDANOOR-II,1409027
17.059,77.4961,KASTOORPALLY-1,1409028
17.0602,77.4921,KASTOORPALLY-II,1409029
17.1409,77.6054,UDMESHWARAM,1409030
17.1042,77.6219,ERRANPALLY-I,1409031
17.1502,77.5947,ERRANPALLY-II,1409032
17.0556,77.6522,HUSNABAD-1,1409033
17.0739,77.6814,HUSNABAD-2,1409034
17.0566,77.6546,HUSNABAD-3,1409035
17.0512,77.6503,HUSNABAD-4,1409036
17.051,77.6483,HUSNABAD-5,1409037
17.039,77.6468,ALID,1409038
17.0924,77.6362,PARSAPUR-1,1409039
17.1,77.6314,PARSAPUR-II,1409040
17.0843,77.6854,Gopya Thanda,1409041
17.0738,77.6815,PALGURALLA TANDA,1409042
17.0842,77.6822,YEKACHERU TANADA,1409043
17.0863,77.6517,PATTA KODANGAL,1409044
17.0936,77.6631,PATTA KODANGAL TANDA,1409045
17.0562,77.604,PEDDANANDIGAMA-I,1409046
17.0566,77.6076,PEDDANANDIGAMA-II,1409047
17.0807,77.633,GUNDLAKUNTA ,1409048
17.0957,77.6029,PIYALAMADDI,1409049
17.0693,77.6189,HUSSAINPUR,1409050
17.1328,77.5114,RUDRARAM-1,1409051
17.1353,77.5109,RUDRARAM-2,1409052
17.1349,77.5116,RUDRARAM-3,1409053
17.1333,77.5102,RUDRARAM-4,1409054
17.1354,77.511,RUDRARAM-5,1409055
17.1348,77.5093,RUDRARAM-6,1409056
17.1132,77.4789,BHAVANAMMA (T),1409057
17.1082,77.4663,BHEEMALI (T),1409058
17.1594,77.493,PATIMIDIPALLY,1409059
17.1040783,77.5202,UPPERPALLY,1409060
17.1426,77.5311,NASARAM,1409061
17.0582,77.4951,ANNARAM-I,1409062
17.0562,77.5434,ANNARAM-II,1409063
17.0576,77.4969,TEKULCODE-I,1409064
17.0595,77.4972,TEKULCODE-II,1409065
17.0576,77.4969,TEKULCODE (T),1409066
17.1019,77.4672,BOYAPALLY TANDA,1409067
17.0943,77.6016,LAXMIPALLY,1409068
17.0957,77.6029,SANSAIPALLY,1409069
17.0627,77.5499,ANGADIRAICHUR-I,1409070
17.0598,77.5488,ANGADIRAICHUR-II,1409071
17.0919,77.539,ANGADIRAICHUR-III,1409072
17.0598,77.5488,ANGADIRAICHUR-IV,1409073
17.0582,77.4951,DHARMAPUR,1409074
17.1592,77.7369,BOMRASPET -1,1409075
17.168,77.7404,BOMRASPET -1I,1409076
17.1708,77.7416,BOMRASPET -1II,1409077
17.1652,77.7393,BOMRASPET -1V,1409078
17.1669,77.7381,GAJULAKUNTA TANDA,1409079
17.1507,77.7459,METLAKUNTA - I,1409080
17.1579,77.785,METLAKUNTA - II,1409081
17.1507,77.7459,LUTKUNTA TANDA,1409082
17.1792,77.7771,MAISHAMMAGADDA TANDA,1409083
17.1507,77.7459,BHUJANNAGADDA (T),1409084
17.1507,77.7459,BURRAI TANADA,1409085
17.1579,77.785,DEPPLANAIK TANDA,1409086
17.1792,77.7771,Gubbadi Thanda,1409087
17.1767,77.7815,Buranpur - 1,1409088
17.1897281,77.7618374,Buranpur - 2,1409089
17.1235,77.6688,SURIYA NAIK TANDA,1409090
17.1863,77.7491,Thettakunta Thanda,1409091
17.2086,77.7629,NARSIYA NAIK TANDA,1409092
17.1546,77.7294,GIDDIGANI TANDA,1409093
17.2193343,77.7711345,MADANPALLY ,1409094
17.2109,77.7646,MADANPALLY TANDA,1409095
17.1668,77.7381,SALIMDAPUR,1409096
17.1624,77.756,Malakunta Thanda,1409097
17.1685,77.7664,TEKULAGADDATANDA,1409098
17.1392,77.6974,MAHANTIPUR,1409099
17.1104656,77.6217154,JANAKAMPALLY,1409100
17.1458,77.7284,DUPCHERLLA,1409101
17.1194,77.7375,NAMDARPUR-I,1409102
17.1194,77.7376,NAMDARPUR-II,1409103
17.1018,77.6507,MEDUHITTU TANDA,1409104
17.1007,77.7399,BORABANDA TANDA,1409105
17.1503,77.7333,TUNKIMETLA-I,1409106
17.1482,77.7328,TUNKIMETLA-II,1409107
17.1406083,77.7063964,BUTLONI TANDA,1409108
17.0551,77.6792,DUDUIYAL-I,1409109
17.0551,77.6792,DUDUIYAL-II,1409110
17.0551,77.6792,DUDUIYAL-III,1409111
17.0269,77.6799,DUDUIYAL-IV,1409112
17.0248,77.6824,DUDUIYAL-V,1409113
17.0248,77.6824,DUDUIYAL-VI,1409114
17.0248,77.6824,ALIKHANPALLY,1409115
17.0944,77.7439,ERRUPUMALLA -I,1409120
17.1151,77.7587,ERRUPUMALLA -II,1409121
17.1272,77.7646,KAKARLAGANDI TANDA,1409122
17.1456,77.7239,CHOWDERPALLY-I,1409123
17.1417,77.7094,CHOWDERPALLY-II,1409124
17.0944,77.744,BAPALLYTANDA,1409125
17.1034,77.7612,PALABAI TANDA,1409126
17.1168,77.7601,SHEETA NAIK TANDA,1409127
17.0641,77.7375,ERLAPALLY-1,1409128
17.0641,77.7375,YELLAGADDA TANDA,1409129
17.0757,77.7375,SATTURKUNTA TANDA,1409130
17.0545,77.7339,Nanya Nayak Thanda,1409131
17.0916,77.7279,GOUWRARAM-1,1409132
17.0915,77.728,GOUWRARAM-1I,1409133
17.0939,77.7115,SAGARAM TANDA,1409134
17.051,77.7241,LAGACHERLLA-I,1409135
17.0532,77.7307,LAGACHERLLA-II,1409136
17.0577,77.7339,LAGACHERLLA TANDA,1409137
17.1213,77.6669,REGADIMAILARAM-1,1409138
17.124,77.6669,REGADIMAILARAM-1I,1409139
17.1177,77.6652,MUDOMAMILA TANDA,1409140
17.1177,77.6652,B.K. NAIK TANA,1409141
17.1219,77.6681,BAMACHERU TANDA,1409142
17.1406,77.7071,NAGAREDDYPALLY,1409143
17.1517,77.692,KUTHUR-I,1409144
17.1517,77.6921,KUTHUR-II,1409145
17.1397,77.6985,RAMNAIK TANDA,1409146
17.1489,77.7406,KATTUKALVA TANDA,1409147
17.1651,77.6815,LINGA NAIK TANDA,1409148
17.1788,77.6012,VADCHERLLA-1,1409149
17.1788,77.6012,VADCHERLLA-1I,1409150
17.1701,77.6154,URUVENKI TANDA,1409151
17.1762,77.6724,EMMMIDI TANDA,1409152
17.2496862,77.6394728,YENKAIPALLY-I,1409153
17.1514,77.6332,YENKAIPALLY-II,1409154
17.1134,77.6663,CHILMULMAILARAM-I,1409155
17.0967,77.6819,CHILMULMAILARAM-II,1409156
17.0967,77.6819,CHITTUPALLI TAND,1409157
17.0969286,77.6819856,SATUKUNTA TANDA,1409158
17.0966,77.6977,PULLIBAI TANDA,1409159
17.0869,77.7072,MUCHUKUNTANDA,1409160
17.0967,77.6819,EKKACHERUTANDA,1409161
17.1065,77.7095,AMSANPALLY,1409162
17.1018,77.6505,NAGZKHANPALLY,1409163
17.1184,77.7016,LINGANPALLY,1409164
17.0079,77.5633,DOULTABAD-I,1409165
17.008,77.5633,DOULTABAD-II,1409166
17.0076,77.5663,DOULTABAD-III,1409167
17.0098,77.5651,DOULTABAD-IV,1409168
17.0064,77.5651,DOULTABAD-V,1409169
17.0071,77.5676,DOULTABAD-VI,1409170
16.9804,77.5803,RamankuntaTanda,1409171
16.9766,77.5688,RAIYALAGATTU TANDA,1409172
16.9576,77.573,GOKAFASLABAD-I,1409173
16.956,77.5715,GOKAFASLABAD-II,1409174
16.959,77.5738,GOKAFASLABAD-III,1409175
16.9365,77.5687,PULKAMPALLY,1409176
16.9184,77.5776,Sevabanda Thanda,1409177
16.9318,77.5662,KISTANAIK TANDA,1409178
16.9411,77.5801,WALKI TANDA,1409179
16.9184,77.5509,NAGASAGAR,1409180
16.9177,77.5505,TIMMLAPUR,1409181
16.9184,77.5306,HANMINAIK TANDA(Mini),1409182
16.9186,77.576,DEVARFASLABAD - I,1409183
16.9186,77.5775,DEVARFASLABAD - II,1409184
16.9186,77.5776,DEVARFASLABAD - III,1409185
16.9247,77.5916,Lottigutta Thanda,1409186
16.9187,77.5761,BHAGYA NAIK TANDA,1409187
16.9354,77.5779,NANDINAIK TANAD,1409188
16.9573,77.5201,BALLAMPET-I,1409189
