Availability,delta_b_0.2,delta_b_0.4,delta_b_0.6,delta_b_0.8,delta_b_1
1,0.6018321947096761,0.607542082121764,0.6133626457656279,0.619210878467436,0.6253383171175885
2,0.6050669591202246,0.6139286037690288,0.6231147310064494,0.6324895109116703,0.6416177846642989
3,0.6074968054814919,0.6191102637112759,0.6313802332250048,0.6430439988328688,0.6544838966082765
4,0.609740514543863,0.6238869492599785,0.63813148336335,0.651875459054825,0.6657401724536921
5,0.6115943414261136,0.6278587167594,0.6439621084828301,0.6595070883095715,0.6752080210083611
6,0.6137726508969805,0.6321122055760698,0.6499512018432624,0.6677700751592228,0.6859436154906479
7,0.6157472154866233,0.6361720109871314,0.6558648341365745,0.6757211562647778,0.6959774220487177
8,0.6176010423688738,0.6400431637303927,0.6615671754419503,0.6835213152360925,0.705681715280363
9,0.619210878467436,0.6433282355190212,0.666441960377909,0.6900914588133495,0.7142339695539748
10,0.6209842135447585,0.646796929237642,0.6716563201159081,0.6972527140830475,0.7232213826479792
11,0.622777671573313,0.6499008944651823,0.6766442966525471,0.7040668484439928,0.7317686061837829
12,0.6245660988640594,0.6530954129732667,0.6816096348690499,0.710697360874946,0.7402630069726026
13,0.6259470363923573,0.6558648341365745,0.68598889213092,0.7167040618177062,0.7474469005624365
14,0.6275493263842075,0.6590241374800028,0.6906398092344224,0.7229069615349787,0.7551313525641671
15,0.6291541317449617,0.6618665043415267,0.6949461207980763,0.7289891235448591,0.7624510760748171
16,0.6306708991940758,0.6647742707945548,0.6994259928161064,0.7348096871887231,0.7694890782682188
17,0.6318606686856695,0.6672267554759581,0.7034027910533359,0.7401749690609625,0.7760642525832838
18,0.6332315447383513,0.6699835997947459,0.7074651118333015,0.7457666341345621,0.7831726851059977
19,0.6345445673062411,0.6726046141927176,0.7117160852810673,0.7511897694915937,0.7900899495920072
20,0.635950658523579,0.6752080210083611,0.7159469357776012,0.7563437603758967,0.7968512612059685
21,0.6370599362102446,0.6775271911378523,0.7193099840022538,0.760851301451871,0.8022668504562879
22,0.6382647979152622,0.6801331133223999,0.7230075762911389,0.7654569419151013,0.8087212870639608
23,0.6394419905623359,0.682442221976275,0.7265215466500317,0.7701707432412037,0.814697803579873
24,0.6406116371026975,0.6847211462033022,0.7301537393474127,0.7750631357594905,0.820523397961545
25,0.6416706074112829,0.6869573091589612,0.7335016953586413,0.7796109227379288,0.8259415025807685
26,0.6426440551771323,0.6888715048949079,0.7366056605861816,0.7836204207709102,0.8311935928523277
27,0.6438313092998219,0.6910825141615269,0.7399334936461781,0.7880902313133245,0.8365211441910071
28,0.6448651259193673,0.6930772017024017,0.7431858656390546,0.7922481361116421,0.8418109649961263
29,0.6457958124138486,0.6951750193683406,0.7462747386531708,0.7966223626357042,0.8472064312952138
30,0.6467013452192899,0.6970288462505911,0.7488957530511425,0.7999929569670687,0.8516385113040679
31,0.6476722776162352,0.6989807725200978,0.7517733350773225,0.8038565636036181,0.8565736650937227
32,0.6484922878789403,0.7010307981768606,0.7546383402589824,0.8079390073348157,0.8614509653985853
33,0.6493575747819175,0.7029273863304792,0.7573851231021541,0.8116189920413728,0.866303112014408
34,0.6500945778707905,0.7044617613619213,0.7598929458994456,0.8149090945678094,0.8706823692762781
35,0.6509648955115758,0.7062149734880118,0.7624711990260492,0.8186720864481984,0.8754037167090926
36,0.6518603668414009,0.7080084315165662,0.7649639296099165,0.8221936029138034,0.8798508889313706
37,0.6527382305888981,0.7099402348348409,0.7675069675718641,0.8256899656903681,0.8842276308243368
38,0.6534475646198271,0.711449456177243,0.7697557073720431,0.8286530702592843,0.8879000694241818
39,0.6543178822606124,0.7131800299831973,0.772535190010967,0.8322475324231051,0.8920202436889394
40,0.6551127388342775,0.7150841642435279,0.7751008662930505,0.8355980038032378,0.8961454486915051
41,0.6559025646701345,0.7167568845646902,0.7776665425751341,0.8389384137077543,0.9002404692672227
42,0.6566043525943515,0.7181101530350441,0.779759329503265,0.8417908420448943,0.9037745625773476
43,0.6573866323234966,0.7197124430268943,0.7821111994285082,0.8449501453883227,0.9074872470796567
44,0.6580934509855215,0.7212040567869684,0.7845561380031996,0.8480339876646309,0.9111898701063498
45,0.6588908229280906,0.7226353016933463,0.7867872702210507,0.8509543309621789,0.9146610791938746
46,0.6594592963003955,0.723820040447132,0.788540482347141,0.8534948535552224,0.9177097063055267
47,0.6601359305355724,0.7252613468291259,0.7906408153819839,0.8563095513588023,0.9212739840424997
48,0.6607622573926692,0.7265391542323597,0.7925851955447786,0.8589230196500619,0.9246169093159202
49,0.66132821539607,0.7279251224984656,0.7946352212015414,0.8614962420388574,0.9278089124551007
50,0.6619796959422068,0.7292230528529314,0.7965896628399521,0.8639411806135487,0.9309103623137369
51,0.6625632615279357,0.7303650303353489,0.7981994989385143,0.8665521335359043,0.9337351215929328
52,0.6631870730161286,0.7315120385555746,0.7999678032780287,0.8690800792844279,0.9367158337441769
53,0.6638159152421295,0.7327169002605922,0.801567577900975,0.8714847719566552,0.9396034772459729
54,0.6643567195564901,0.7337909627826017,0.8031874754751532,0.8738467033575145,0.9423351678757207
55,0.6647541478433227,0.7347795027618751,0.8048979263298756,0.8758816368008532,0.9449335439535562
