,starting_capacity,choice_delay_phc,choice_delay_ss,demand_served_phc,demand_served_ss,demand_fulfilled_dates_phc,demand_fulfilled_dates_ss,bad_experience_phc,bad_experience_ss
0,50,4,-1,0,0,4,0,0,0
1,50,7,-1,0,0,8,0,0,0
2,50,0,-1,1,0,2,0,0,0
3,49,120,-1,0,0,123,0,0,0
4,49,-1,53,1,0,0,77,0,0
5,48,1,-1,0,0,6,0,0,0
6,48,-1,16,1,0,0,49,0,0
7,47,-1,18,0,0,0,49,0,0
8,47,-1,2,1,0,0,21,0,0
9,46,-1,0,0,0,0,21,0,0
10,46,-1,3,0,0,0,21,0,0
11,46,-1,54,0,0,0,77,0,0
12,46,-1,2,0,0,0,21,0,0
13,46,-1,0,0,0,0,21,0,0
14,46,-1,4,0,0,0,21,0,0
15,46,-1,1,0,0,0,21,0,0
16,46,-1,0,0,0,0,21,0,0
17,46,-1,7,0,0,0,49,0,0
18,46,-1,2,0,0,0,21,0,0
19,46,0,-1,1,0,19,0,0,0
20,45,0,-1,1,0,20,0,0,0
21,44,15,-1,0,9,36,0,0,0
22,35,416,-1,0,0,0,693,1,0
23,35,0,-1,1,0,23,0,0,0
24,34,-1,-1,0,0,0,0,0,0
25,34,-1,53,0,0,0,105,0,0
26,34,12,-1,0,0,38,0,0,0
27,34,0,-1,1,0,27,0,0,0
28,33,-1,0,0,0,0,49,0,0
29,33,0,-1,1,0,29,0,0,0
30,32,24,-1,0,0,54,0,0,0
31,32,-1,91,0,0,0,133,0,0
32,32,13,-1,0,0,45,0,0,0
33,32,3,-1,0,0,36,0,0,0
34,32,-1,0,0,0,0,49,0,0
35,32,-1,19,0,0,0,77,0,0
36,32,28,-1,2,0,64,0,0,0
37,30,31,-1,0,0,68,0,0,0
38,30,46,-1,1,0,84,0,0,0
39,29,0,-1,1,0,39,0,0,0
40,50,-1,10,0,0,0,77,0,0
41,50,-1,0,0,0,0,49,0,0
42,50,-1,2,0,0,0,49,0,0
43,50,0,-1,1,0,43,0,0,0
44,49,-1,0,0,0,0,49,0,0
45,49,-1,3,1,0,0,49,0,0
46,48,-1,34,0,0,0,105,0,0
47,48,-1,0,0,0,0,49,0,0
48,48,-1,13,0,0,0,77,0,0
49,48,-1,-1,0,10,0,0,0,0
50,38,24,-1,0,0,74,0,0,0
51,38,216,-1,0,0,267,0,0,0
52,38,-1,-1,0,0,0,0,0,0
53,38,-1,92,0,0,0,161,0,0
54,38,0,-1,2,0,54,0,0,0
55,36,2,-1,0,0,57,0,0,0
56,36,0,-1,1,0,56,0,0,0
57,35,-1,-1,1,0,0,0,0,0
58,34,1,-1,0,0,59,0,0,0
59,34,1,-1,1,0,60,0,0,0
60,33,67,-1,1,0,127,0,0,0
61,32,-1,73,0,0,0,161,0,0
62,32,27,-1,0,0,89,0,0,0
63,32,30,-1,0,0,93,0,0,0
64,32,8,-1,1,0,72,0,0,0
65,31,-1,10,0,0,0,77,0,0
66,31,2,-1,0,0,68,0,0,0
67,31,1,-1,0,0,68,0,0,0
68,31,6,-1,3,0,74,0,0,0
69,28,-1,1,0,0,0,77,0,0
70,28,-1,0,0,0,0,77,0,0
71,28,-1,43,0,0,0,133,0,0
72,28,-1,0,1,0,0,77,0,0
73,27,-1,0,0,0,0,77,0,0
74,27,-1,3,2,0,0,77,0,0
75,25,-1,8,0,0,0,105,0,0
76,25,-1,0,0,0,0,77,0,0
77,25,2,-1,0,12,79,0,0,0
78,13,198,-1,0,0,276,0,0,0
79,13,22,-1,1,0,101,0,0,0
80,50,0,-1,1,0,80,0,0,0
81,49,-1,8,0,0,0,105,0,0
82,49,-1,5,0,0,0,105,0,0
83,49,-1,4,0,0,0,105,0,0
84,49,9,-1,1,0,93,0,0,0
85,48,401,-1,0,0,486,0,0,0
86,48,0,-1,1,0,86,0,0,0
87,47,-1,82,0,0,233,0,0,1
88,47,0,-1,1,0,88,0,0,0
89,46,-1,-1,1,0,0,0,0,0
90,45,-1,242,0,0,0,357,0,0
91,45,-1,66,0,0,0,161,0,0
92,45,100,-1,0,0,0,0,1,0
93,45,9,-1,2,0,102,0,0,0
94,43,15,-1,0,0,109,0,0,0
95,43,-1,15,0,0,0,133,0,0
96,43,-1,0,0,0,0,105,0,0
97,43,-1,4,0,0,0,105,0,0
98,43,-1,0,0,0,0,105,0,0
99,43,-1,-1,0,0,0,0,0,0
100,43,-1,10,0,0,0,133,0,0
101,43,117,-1,1,0,218,0,0,0
102,42,-1,2,1,0,0,105,0,0
103,41,-1,0,0,0,0,105,0,0
104,41,-1,1,0,0,0,105,0,0
105,41,64,-1,0,12,169,0,0,0
106,29,581,-1,0,0,687,0,0,0
107,29,-1,-1,0,0,0,0,0,0
108,29,-1,304,0,0,0,413,0,0
109,29,-1,-1,1,0,0,0,0,0
110,28,-1,9,0,0,0,133,0,0
111,28,0,-1,1,0,111,0,0,0
112,27,1,-1,0,0,113,0,0,0
113,27,1,-1,1,0,114,0,0,0
114,26,26,-1,1,0,140,0,0,0
115,25,15,-1,0,0,130,0,0,0
116,25,-1,2,0,0,0,133,0,0
117,25,3,-1,0,0,120,0,0,0
118,25,2,-1,0,0,120,0,0,0
119,25,-1,6,0,0,0,133,0,0
120,50,5,-1,2,0,125,0,0,0
121,48,1,-1,0,0,122,0,0,0
122,48,-1,0,1,0,0,133,0,0
