,starting_capacity,choice_delay_phc,choice_delay_ss,demand_served_phc,demand_served_ss,total_delay_phc,total_delay_ss,bad_experience_phc,bad_experience_ss
0,50,-1,397,0,0,0,413,0,0
1,50,0,-1,1,0,1,0,0,0
2,49,0,-1,1,0,2,0,0,0
3,48,32,-1,0,0,35,0,0,0
4,48,-1,0,0,0,0,21,0,0
5,48,0,-1,1,0,5,0,0,0
6,47,-1,107,0,0,0,133,0,0
7,47,-1,124,0,0,0,133,0,0
8,47,79,-1,0,0,87,0,0,0
9,47,0,-1,1,0,9,0,0,0
10,46,-1,16,0,0,0,49,0,0
11,46,-1,-1,0,0,0,0,0,0
12,46,-1,-1,0,0,0,0,0,0
13,46,-1,0,0,0,0,21,0,0
14,46,-1,2,0,0,0,21,0,0
15,46,-1,40,0,0,0,77,0,0
16,46,-1,2,0,0,0,21,0,0
17,46,-1,1,0,0,0,21,0,0
18,46,-1,0,0,0,0,21,0,0
19,46,-1,7,0,0,0,49,0,0
20,46,-1,0,0,0,0,21,0,0
21,46,6,-1,0,7,27,0,0,0
22,39,1,-1,0,0,23,0,0,0
23,39,4,-1,1,0,27,0,0,0
24,38,-1,528,0,0,0,0,0,1
25,38,15,-1,0,0,40,0,0,0
26,38,44,-1,0,0,70,0,0,0
27,38,0,-1,3,0,27,0,0,0
28,35,9,-1,0,0,37,0,0,0
29,35,0,-1,1,0,29,0,0,0
30,34,43,-1,0,0,73,0,0,0
31,34,-1,358,0,0,0,413,0,0
32,34,15,-1,0,0,47,0,0,0
33,34,37,-1,0,0,70,0,0,0
34,34,10,-1,0,0,44,0,0,0
35,34,-1,24,1,0,0,77,0,0
36,33,-1,4,0,0,0,49,0,0
37,33,1,-1,1,0,38,0,0,0
38,32,-1,0,1,0,0,49,0,0
39,31,2,-1,0,0,41,0,0,0
40,50,0,-1,2,0,40,0,0,0
41,48,-1,109,1,0,0,161,0,0
42,47,-1,-1,0,0,0,0,0,0
43,47,-1,1,0,0,0,49,0,0
44,47,-1,13,1,0,0,77,0,0
45,46,-1,13,0,0,0,77,0,0
46,46,-1,3,0,0,0,49,0,0
47,46,-1,4,1,0,0,77,0,0
48,45,-1,33,0,0,0,105,0,0
49,45,5,-1,0,6,54,0,0,0
50,39,9,-1,0,0,59,0,0,0
51,39,4,-1,0,0,55,0,0,0
52,39,5,-1,0,0,57,0,0,0
53,39,-1,16,0,0,0,77,0,0
54,39,50,-1,1,0,104,0,0,0
55,38,4,-1,1,0,59,0,0,0
56,37,0,-1,1,0,56,0,0,0
57,36,8,-1,1,0,65,0,0,0
58,35,-1,0,0,0,0,77,0,0
59,35,99,-1,2,0,158,0,0,0
60,33,2,-1,0,0,62,0,0,0
61,33,-1,31,0,0,0,105,0,0
62,33,-1,-1,1,0,0,0,0,0
63,32,-1,4,0,0,0,77,0,0
64,32,1,-1,0,0,65,0,0,0
65,32,73,-1,2,0,138,0,0,0
66,30,-1,52,0,0,0,133,0,0
67,30,-1,5,0,0,0,77,0,0
68,30,-1,1,0,0,0,77,0,0
69,30,-1,15,0,0,0,105,0,0
70,30,-1,2,2,0,0,77,0,0
71,28,-1,39,0,0,0,133,0,0
72,28,-1,9,0,0,0,105,0,0
73,28,-1,0,1,0,0,77,0,0
74,27,52,-1,0,0,126,0,0,0
75,27,-1,0,0,0,0,77,0,0
76,27,-1,1,0,0,0,77,0,0
77,27,13,-1,0,14,90,0,0,0
78,13,4,-1,0,0,82,0,0,0
79,13,1,-1,0,0,80,0,0,0
80,50,0,-1,2,0,80,0,0,0
81,48,46,-1,0,0,127,0,0,0
82,48,3,-1,1,0,85,0,0,0
83,47,-1,9,0,0,0,105,0,0
84,47,10,-1,0,0,94,0,0,0
85,47,-1,0,1,0,0,105,0,0
86,46,30,-1,0,0,116,0,0,0
87,46,67,-1,1,0,154,0,0,0
88,45,129,-1,0,0,217,0,0,0
89,45,-1,0,0,0,0,105,0,0
90,45,55,-1,1,0,145,0,0,0
91,44,-1,0,0,0,0,105,0,0
92,44,4,-1,0,0,96,0,0,0
93,44,-1,1,0,0,0,105,0,0
94,44,-1,4,1,0,0,105,0,0
95,43,-1,1,0,0,0,105,0,0
96,43,2,-1,1,0,98,0,0,0
97,42,-1,-1,0,0,0,0,0,0
98,42,0,-1,2,0,98,0,0,0
99,40,-1,0,0,0,0,105,0,0
100,40,-1,0,0,0,0,105,0,0
101,40,20,-1,0,0,121,0,0,0
102,40,-1,0,0,0,0,105,0,0
103,40,-1,0,0,0,0,105,0,0
104,40,-1,11,1,0,0,133,0,0
105,39,41,-1,0,15,146,0,0,0
106,24,-1,26,0,0,0,133,0,0
107,24,-1,49,0,0,0,161,0,0
108,24,-1,8,0,0,0,133,0,0
109,24,-1,-1,0,0,0,0,0,0
110,24,0,-1,1,0,110,0,0,0
111,23,-1,15,0,0,0,133,0,0
112,23,123,-1,0,0,235,0,0,0
113,23,-1,6,0,0,0,133,0,0
114,23,-1,-1,0,0,0,0,0,0
115,23,6,-1,0,0,121,0,0,0
116,23,161,-1,1,0,277,0,0,0
117,22,-1,58,0,0,268,0,0,1
118,22,43,-1,0,0,161,0,0,0
119,22,0,-1,1,0,119,0,0,0
120,50,-1,-1,0,0,0,0,0,0
121,50,3,-1,2,0,124,0,0,0
122,48,-1,254,0,0,0,0,0,1
123,48,3,-1,0,0,126,0,0,0
124,48,-1,1,1,0,0,133,0,0
125,47,-1,0,0,0,0,133,0,0
126,47,-1,0,2,0,0,133,0,0
127,45,-1,0,1,0,0,133,0,0
128,44,-1,0,0,0,0,133,0,0
129,44,-1,0,0,0,0,133,0,0
130,44,-1,0,0,0,0,133,0,0
131,44,-1,0,0,0,0,133,0,0
132,44,-1,2,0,0,0,161,0,0
133,44,69,-1,0,17,202,0,0,0
134,27,12,-1,0,0,146,0,0,0
135,27,8,-1,0,0,143,0,0,0
136,27,67,-1,0,0,203,0,0,0
137,27,47,-1,0,0,201,0,1,0
138,27,1,-1,1,0,139,0,0,0
139,26,50,-1,1,0,356,0,1,0
140,25,2,-1,0,0,142,0,0,0
141,25,42,-1,0,0,0,273,1,0
142,25,64,-1,1,0,206,0,0,0
143,24,-1,370,1,0,0,525,0,0
144,23,11,-1,0,0,155,0,0,0
145,23,0,-1,2,0,145,0,0,0
146,21,0,-1,3,0,146,0,0,0
147,18,-1,445,0,0,0,609,0,0
148,18,-1,0,0,0,0,161,0,0
149,18,-1,3,0,0,0,161,0,0
150,18,-1,0,0,0,0,161,0,0
151,18,-1,0,0,0,0,161,0,0
152,18,27,-1,0,0,0,0,1,0
153,18,114,-1,0,0,267,0,0,0
154,18,-1,-1,1,0,0,0,0,0
155,17,-1,-1,1,0,0,0,0,0
156,16,-1,1,0,0,0,161,0,0
157,16,-1,0,0,0,0,161,0,0
158,16,1,-1,1,0,159,0,0,0
159,15,-1,1,1,0,0,161,0,0
160,14,-1,0,0,0,0,161,0,0
161,14,13,-1,1,11,294,0,1,0
162,2,90,-1,0,0,252,0,0,0
163,2,-1,87,0,0,0,273,0,0
164,2,1,-1,0,0,165,0,0,0
165,2,22,-1,1,0,0,245,1,0
166,1,8,-1,0,0,215,0,1,0
167,1,-1,1,0,0,0,217,1,1
168,1,1,-1,0,0,169,0,0,0
169,1,4,-1,1,0,233,0,1,1
170,0,1,-1,0,0,200,0,1,0
171,0,2,-1,0,0,218,0,1,0
172,0,-1,10,0,0,0,217,0,1
173,0,-1,6,0,0,0,301,1,1
174,0,254,-1,0,0,428,0,0,0
175,0,2,-1,0,0,211,0,1,0
176,0,1,-1,0,0,0,217,1,1
177,0,-1,9,0,0,0,217,0,1
178,0,-1,20,0,0,0,217,0,0
179,0,83,-1,0,0,262,0,0,0
180,0,-1,2,0,0,0,217,0,1
181,0,-1,8,0,0,0,301,0,1
182,0,-1,1,0,0,0,245,1,1
183,0,-1,1,0,0,0,217,0,1
184,0,1,-1,0,0,0,217,1,1
185,0,-1,1,0,0,0,217,0,1
186,0,-1,7,0,0,0,217,0,0
187,0,-1,-1,0,0,0,0,0,0
188,0,-1,0,0,0,0,217,1,1
189,0,0,-1,0,0,241,0,1,0
190,0,4,-1,0,0,203,0,1,0
191,0,0,-1,0,0,201,0,1,0
192,0,0,-1,0,0,203,0,1,0
193,0,3,-1,0,0,201,0,1,0
194,0,10,-1,0,0,204,0,0,0
195,0,10,-1,0,0,205,0,0,0
196,0,36,-1,0,0,232,0,0,0
197,0,-1,500,0,0,0,721,0,0
198,0,21,-1,0,0,219,0,0,0
199,0,-1,198,0,0,0,413,0,0
200,50,64,-1,1,0,264,0,0,0
201,49,-1,4,3,0,0,217,0,0
202,46,-1,8,1,0,0,217,0,0
203,45,-1,-1,3,0,0,0,0,0
204,42,-1,3,1,0,0,217,0,0
205,41,120,-1,1,0,325,0,0,0
206,40,-1,-1,1,0,0,0,0,0
207,39,65,-1,0,0,272,0,0,0
208,39,-1,0,0,0,0,217,0,0
209,39,-1,0,0,0,0,217,0,0
210,39,126,-1,0,0,336,0,0,0
211,39,20,-1,1,0,231,0,0,0
212,38,-1,9,0,0,0,245,0,0
213,38,-1,2,0,0,0,217,0,0
214,38,-1,4,0,0,0,245,0,0
215,38,-1,0,1,0,0,217,0,0
216,37,-1,0,0,0,0,217,0,0
217,37,-1,2,1,19,0,245,0,0
218,17,1,-1,1,0,219,0,0,0
219,16,-1,-1,2,0,0,0,0,0
220,14,0,-1,1,0,220,0,0,0
221,13,0,-1,1,0,221,0,0,0
222,12,6,-1,0,0,228,0,0,0
223,12,79,-1,0,0,302,0,0,0
224,12,3,-1,0,0,227,0,0,0
225,12,-1,112,0,0,0,357,0,0
226,12,0,-1,1,0,226,0,0,0
227,11,4,-1,1,0,231,0,0,0
228,10,93,-1,1,0,321,0,0,0
229,9,-1,235,0,0,0,469,0,0
230,9,-1,6,0,0,0,245,0,0
231,9,7,-1,2,0,238,0,0,0
232,7,-1,0,1,0,0,245,0,0
233,6,-1,44,1,0,0,301,0,0
