,choice_delay_ss,choice_delay_phc,total_delay_ss,total_delay_phc
0,397,-1,413,0
1,-1,0,0,1
2,-1,0,0,2
3,-1,32,0,35
4,0,-1,21,0
5,-1,0,0,5
6,107,-1,133,0
7,124,-1,133,0
8,-1,79,0,87
9,-1,0,0,9
10,16,-1,49,0
11,-1,-1,0,0
12,-1,-1,0,0
13,0,-1,21,0
14,2,-1,21,0
15,40,-1,77,0
16,2,-1,21,0
17,1,-1,21,0
18,0,-1,21,0
19,7,-1,49,0
20,0,-1,21,0
21,-1,6,0,27
22,-1,1,0,23
23,-1,4,0,27
24,528,-1,0,0
25,-1,15,0,40
26,-1,44,0,70
27,-1,0,0,27
28,-1,9,0,37
29,-1,0,0,29
30,-1,43,0,73
31,358,-1,413,0
32,-1,15,0,47
33,-1,37,0,70
34,-1,10,0,44
35,24,-1,77,0
36,4,-1,49,0
37,-1,1,0,38
38,0,-1,49,0
39,-1,2,0,41
40,-1,0,0,40
41,109,-1,161,0
42,-1,-1,0,0
43,1,-1,49,0
44,13,-1,77,0
45,13,-1,77,0
46,3,-1,49,0
47,4,-1,77,0
48,33,-1,105,0
49,-1,5,0,54
50,-1,9,0,59
51,-1,4,0,55
52,-1,5,0,57
53,16,-1,77,0
54,-1,50,0,104
55,-1,4,0,59
56,-1,0,0,56
57,-1,8,0,65
58,0,-1,77,0
59,-1,99,0,158
60,-1,2,0,62
61,31,-1,105,0
62,-1,-1,0,0
63,4,-1,77,0
64,-1,1,0,65
65,-1,73,0,138
66,52,-1,133,0
67,5,-1,77,0
68,1,-1,77,0
69,15,-1,105,0
70,2,-1,77,0
71,39,-1,133,0
72,9,-1,105,0
73,0,-1,77,0
74,-1,52,0,126
75,0,-1,77,0
76,1,-1,77,0
77,-1,13,0,90
78,-1,4,0,82
79,-1,1,0,80
80,-1,0,0,80
81,-1,46,0,127
82,-1,3,0,85
83,9,-1,105,0
84,-1,10,0,94
85,0,-1,105,0
86,-1,30,0,116
87,-1,67,0,154
88,-1,129,0,217
89,0,-1,105,0
90,-1,55,0,145
91,0,-1,105,0
92,-1,4,0,96
93,1,-1,105,0
94,4,-1,105,0
95,1,-1,105,0
96,-1,2,0,98
97,-1,-1,0,0
98,-1,0,0,98
99,0,-1,105,0
100,0,-1,105,0
101,-1,20,0,121
102,0,-1,105,0
103,0,-1,105,0
104,11,-1,133,0
105,-1,41,0,146
106,26,-1,133,0
107,49,-1,161,0
108,8,-1,133,0
109,-1,-1,0,0
110,-1,0,0,110
111,15,-1,133,0
112,-1,123,0,235
113,6,-1,133,0
114,-1,-1,0,0
115,-1,6,0,121
116,-1,161,0,277
117,58,-1,0,268
118,-1,43,0,161
119,-1,0,0,119
120,-1,-1,0,0
121,-1,3,0,124
122,254,-1,0,0
123,-1,3,0,126
124,1,-1,133,0
125,0,-1,133,0
126,0,-1,133,0
127,0,-1,133,0
128,0,-1,133,0
129,0,-1,133,0
130,0,-1,133,0
131,0,-1,133,0
132,2,-1,161,0
133,-1,69,0,202
134,-1,12,0,146
135,-1,8,0,143
136,-1,67,0,203
137,-1,47,0,201
138,-1,1,0,139
139,-1,50,0,356
140,-1,2,0,142
141,-1,42,273,0
142,-1,64,0,206
143,370,-1,525,0
144,-1,11,0,155
145,-1,0,0,145
146,-1,0,0,146
147,445,-1,609,0
148,0,-1,161,0
149,3,-1,161,0
150,0,-1,161,0
151,0,-1,161,0
152,-1,27,0,0
153,-1,114,0,267
154,-1,-1,0,0
155,-1,-1,0,0
156,1,-1,161,0
157,0,-1,161,0
158,-1,1,0,159
159,1,-1,161,0
160,0,-1,161,0
161,-1,13,0,294
162,-1,90,0,252
163,87,-1,273,0
164,-1,1,0,165
165,-1,22,245,0
166,-1,8,0,215
167,1,-1,217,0
168,-1,1,0,169
169,-1,4,0,233
170,-1,1,0,200
171,-1,2,0,218
172,10,-1,217,0
173,6,-1,301,0
174,-1,254,0,428
175,-1,2,0,211
176,-1,1,217,0
177,9,-1,217,0
178,20,-1,217,0
179,-1,83,0,262
180,2,-1,217,0
181,8,-1,301,0
182,1,-1,245,0
183,1,-1,217,0
184,-1,1,217,0
185,1,-1,217,0
186,7,-1,217,0
187,-1,-1,0,0
188,0,-1,217,0
189,-1,0,0,241
190,-1,4,0,203
191,-1,0,0,201
192,-1,0,0,203
193,-1,3,0,201
194,-1,10,0,204
195,-1,10,0,205
196,-1,36,0,232
197,500,-1,721,0
198,-1,21,0,219
199,198,-1,413,0
200,-1,64,0,264
201,4,-1,217,0
202,8,-1,217,0
203,-1,-1,0,0
204,3,-1,217,0
205,-1,120,0,325
206,-1,-1,0,0
207,-1,65,0,272
208,0,-1,217,0
209,0,-1,217,0
210,-1,126,0,336
211,-1,20,0,231
212,9,-1,245,0
213,2,-1,217,0
214,4,-1,245,0
215,0,-1,217,0
216,0,-1,217,0
217,2,-1,245,0
218,-1,1,0,219
219,-1,-1,0,0
220,-1,0,0,220
221,-1,0,0,221
222,-1,6,0,228
223,-1,79,0,302
224,-1,3,0,227
225,112,-1,357,0
226,-1,0,0,226
227,-1,4,0,231
228,-1,93,0,321
229,235,-1,469,0
230,6,-1,245,0
231,-1,7,0,238
232,0,-1,245,0
233,44,-1,301,0
234,-1,1,0,235
235,1,-1,245,0
236,2,-1,245,0
237,29,-1,273,0
238,1,-1,245,0
239,0,-1,245,0
240,1,-1,245,0
241,1,-1,245,0
242,18,-1,273,0
243,-1,26,0,269
244,0,-1,245,0
245,-1,17,0,262
246,-1,424,0,670
247,-1,0,0,247
248,-1,-1,0,0
249,393,-1,665,0
250,-1,8,0,258
251,-1,158,0,409
252,-1,-1,0,0
253,-1,2,0,255
254,-1,14,0,268
255,-1,5,0,260
256,-1,48,0,304
257,-1,1,0,258
258,186,-1,469,0
259,1,-1,273,0
260,-1,10,0,270
261,-1,0,0,261
262,3,-1,273,0
263,0,-1,273,0
264,-1,-1,0,0
265,-1,0,0,265
266,1,-1,273,0
267,-1,4,0,271
268,-1,0,0,268
269,102,-1,469,0
270,-1,11,0,281
271,0,-1,273,0
272,-1,-1,0,0
273,-1,4,0,277
274,-1,8,0,282
275,-1,11,0,286
276,-1,17,0,293
277,-1,-1,0,0
278,-1,205,665,0
279,27,-1,329,0
280,-1,18,0,298
281,-1,0,0,281
282,6,-1,301,0
283,330,-1,637,0
284,-1,2,0,286
285,-1,14,0,299
286,-1,25,0,311
287,-1,2,0,289
288,-1,-1,0,0
289,-1,11,0,300
290,1,-1,301,0
291,2,-1,301,0
292,8,-1,301,0
293,1,-1,301,0
294,-1,11,0,305
295,-1,-1,0,0
296,0,-1,301,0
297,24,-1,329,0
298,2,-1,301,0
299,0,-1,301,0
300,0,-1,301,0
301,-1,4,0,305
302,-1,409,0,711
303,58,-1,469,0
304,-1,100,0,404
305,-1,10,0,315
306,116,-1,441,0
307,178,-1,0,0
308,-1,16,0,324
309,-1,25,0,334
310,0,-1,329,0
311,13,-1,329,0
312,-1,2,0,314
313,-1,9,0,322
314,2,-1,329,0
315,2,-1,329,0
316,-1,0,0,316
317,-1,53,0,370
318,-1,0,0,318
319,-1,1,0,320
320,3,-1,329,0
321,0,-1,329,0
322,74,-1,413,0
323,0,-1,329,0
324,1,-1,329,0
325,0,-1,329,0
326,-1,20,0,346
327,1,-1,329,0
328,0,-1,329,0
329,-1,3,0,332
330,-1,4,0,334
331,-1,-1,0,0
332,-1,22,0,354
333,-1,1,0,334
334,3,-1,357,0
335,44,-1,441,0
336,-1,0,0,336
337,-1,124,0,461
338,-1,-1,0,0
339,42,-1,637,0
340,-1,2,0,342
341,-1,4,0,345
342,43,-1,413,0
343,0,-1,357,0
344,-1,4,0,348
345,-1,3,0,348
346,42,-1,413,0
347,6,-1,357,0
348,-1,24,0,372
349,0,-1,357,0
350,0,-1,357,0
351,-1,3,0,354
352,0,-1,357,0
353,1,-1,357,0
354,3,-1,357,0
355,9,-1,441,0
356,0,-1,357,0
357,-1,27,0,384
358,-1,12,0,370
359,-1,3,0,362
360,-1,6,0,366
361,-1,78,0,0
362,-1,102,0,464
363,-1,22,0,400
