scenario_name,ss_mode,ss_replenishment_source,replenishmentdisruption,ccedisruption,phc,ss,overall
ccedisruption,periodic,phc,0,1,0.233870968,0.232044199,0.232786885
ccedisruption,periodic,phc,0,1,0.228571429,0.176470588,0.2
ccedisruption,periodic,phc,0,1,0.269565217,0.192307692,0.222222222
ccedisruption,periodic,phc,0,1,0.276923077,0.293785311,0.286644951
ccedisruption,periodic,phc,0,1,0.21641791,0.261904762,0.241721854
ccedisruption,periodic,phc,0,1,0.256944444,0.265060241,0.261290323
ccedisruption,periodic,phc,0,1,0.149606299,0.146892655,0.148026316
ccedisruption,periodic,phc,0,1,0.230769231,0.231213873,0.231023102
ccedisruption,periodic,phc,0,1,0.186206897,0.269461078,0.230769231
ccedisruption,periodic,phc,0,1,0.292517007,0.18128655,0.232704403
ccedisruption,periodic,phc,0,1,0.21969697,0.201183432,0.209302326
ccedisruption,periodic,phc,0,1,0.185483871,0.194594595,0.190938511
ccedisruption,periodic,phc,0,1,0.276595745,0.225433526,0.248407643
ccedisruption,periodic,phc,0,1,0.217391304,0.248618785,0.235109718
ccedisruption,periodic,phc,0,1,0.19858156,0.25,0.227129338
ccedisruption,periodic,phc,0,1,0.269503546,0.222222222,0.243589744
ccedisruption,periodic,phc,0,1,0.328358209,0.337278107,0.333333333
ccedisruption,periodic,phc,0,1,0.2421875,0.214689266,0.226229508
ccedisruption,periodic,phc,0,1,0.165562914,0.263473054,0.216981132
ccedisruption,periodic,phc,0,1,0.175,0.201058201,0.190938511
ccedisruption,periodic,phc,0,1,0.210526316,0.168539326,0.186495177
ccedisruption,periodic,phc,0,1,0.268907563,0.25,0.257142857
ccedisruption,periodic,phc,0,1,0.297101449,0.248587571,0.26984127
ccedisruption,periodic,phc,0,1,0.256944444,0.280701754,0.26984127
ccedisruption,periodic,phc,0,1,0.28125,0.23699422,0.255813953
ccedisruption,periodic,phc,0,1,0.297101449,0.215568862,0.252459016
ccedisruption,periodic,phc,0,1,0.284615385,0.275280899,0.279220779
ccedisruption,periodic,phc,0,1,0.251908397,0.243386243,0.246875
ccedisruption,periodic,phc,0,1,0.272058824,0.264044944,0.267515924
ccedisruption,periodic,phc,0,1,0.160583942,0.216374269,0.191558442
ccedisruption,periodic,phc,0,1,0.216,0.264864865,0.24516129
ccedisruption,periodic,phc,0,1,0.241935484,0.315789474,0.284745763
ccedisruption,periodic,phc,0,1,0.184397163,0.277456647,0.23566879
ccedisruption,periodic,phc,0,1,0.305785124,0.293785311,0.298657718
ccedisruption,periodic,phc,0,1,0.246666667,0.273291925,0.260450161
ccedisruption,periodic,phc,0,1,0.261538462,0.198830409,0.225913621
ccedisruption,periodic,phc,0,1,0.262411348,0.210526316,0.233974359
ccedisruption,periodic,phc,0,1,0.321428571,0.208588957,0.260726073
ccedisruption,periodic,phc,0,1,0.201492537,0.149700599,0.172757475
ccedisruption,periodic,phc,0,1,0.248062016,0.276836158,0.264705882
ccedisruption,periodic,phc,0,1,0.257352941,0.155172414,0.2
ccedisruption,periodic,phc,0,1,0.255639098,0.256830601,0.256329114
ccedisruption,periodic,phc,0,1,0.248175182,0.209876543,0.227424749
ccedisruption,periodic,phc,0,1,0.284552846,0.23655914,0.25566343
ccedisruption,periodic,phc,0,1,0.267123288,0.246666667,0.256756757
ccedisruption,periodic,phc,0,1,0.233333333,0.243589744,0.238562092
ccedisruption,periodic,phc,0,1,0.213114754,0.231578947,0.224358974
ccedisruption,periodic,phc,0,1,0.204724409,0.287356322,0.252491694
ccedisruption,periodic,phc,0,1,0.238461538,0.331428571,0.291803279
ccedisruption,periodic,phc,0,1,0.22972973,0.246666667,0.238255034
