scenario_name,ss_mode,ss_replenishment_source,replenishmentdisruption,ccedisruption,phc,ss,overall
ccedisruption,periodic,phc,0,1,0.406557377,0.593442623,0.835616438
ccedisruption,periodic,phc,0,1,0.451612903,0.548387097,0.849315068
ccedisruption,periodic,phc,0,1,0.387205387,0.612794613,0.81369863
ccedisruption,periodic,phc,0,1,0.423452769,0.576547231,0.84109589
ccedisruption,periodic,phc,0,1,0.443708609,0.556291391,0.82739726
ccedisruption,periodic,phc,0,1,0.464516129,0.535483871,0.849315068
ccedisruption,periodic,phc,0,1,0.417763158,0.582236842,0.832876712
ccedisruption,periodic,phc,0,1,0.429042904,0.570957096,0.830136986
ccedisruption,periodic,phc,0,1,0.46474359,0.53525641,0.854794521
ccedisruption,periodic,phc,0,1,0.462264151,0.537735849,0.871232877
ccedisruption,periodic,phc,0,1,0.438538206,0.561461794,0.824657534
ccedisruption,periodic,phc,0,1,0.401294498,0.598705502,0.846575342
ccedisruption,periodic,phc,0,1,0.449044586,0.550955414,0.860273973
ccedisruption,periodic,phc,0,1,0.432601881,0.567398119,0.873972603
ccedisruption,periodic,phc,0,1,0.444794953,0.555205047,0.868493151
ccedisruption,periodic,phc,0,1,0.451923077,0.548076923,0.854794521
ccedisruption,periodic,phc,0,1,0.442244224,0.557755776,0.830136986
ccedisruption,periodic,phc,0,1,0.419672131,0.580327869,0.835616438
ccedisruption,periodic,phc,0,1,0.474842767,0.525157233,0.871232877
ccedisruption,periodic,phc,0,1,0.388349515,0.611650485,0.846575342
ccedisruption,periodic,phc,0,1,0.427652733,0.572347267,0.852054795
ccedisruption,periodic,phc,0,1,0.377777778,0.622222222,0.863013699
ccedisruption,periodic,phc,0,1,0.438095238,0.561904762,0.863013699
ccedisruption,periodic,phc,0,1,0.457142857,0.542857143,0.863013699
ccedisruption,periodic,phc,0,1,0.425249169,0.574750831,0.824657534
ccedisruption,periodic,phc,0,1,0.452459016,0.547540984,0.835616438
ccedisruption,periodic,phc,0,1,0.422077922,0.577922078,0.843835616
ccedisruption,periodic,phc,0,1,0.409375,0.590625,0.876712329
ccedisruption,periodic,phc,0,1,0.433121019,0.566878981,0.860273973
ccedisruption,periodic,phc,0,1,0.444805195,0.555194805,0.843835616
ccedisruption,periodic,phc,0,1,0.403225806,0.596774194,0.849315068
ccedisruption,periodic,phc,0,1,0.420338983,0.579661017,0.808219178
ccedisruption,periodic,phc,0,1,0.449044586,0.550955414,0.860273973
ccedisruption,periodic,phc,0,1,0.406040268,0.593959732,0.816438356
ccedisruption,periodic,phc,0,1,0.482315113,0.517684887,0.852054795
ccedisruption,periodic,phc,0,1,0.431893688,0.568106312,0.824657534
ccedisruption,periodic,phc,0,1,0.451923077,0.548076923,0.854794521
ccedisruption,periodic,phc,0,1,0.462046205,0.537953795,0.830136986
ccedisruption,periodic,phc,0,1,0.445182724,0.554817276,0.824657534
ccedisruption,periodic,phc,0,1,0.421568627,0.578431373,0.838356164
ccedisruption,periodic,phc,0,1,0.438709677,0.561290323,0.849315068
ccedisruption,periodic,phc,0,1,0.420886076,0.579113924,0.865753425
ccedisruption,periodic,phc,0,1,0.45819398,0.54180602,0.819178082
ccedisruption,periodic,phc,0,1,0.398058252,0.601941748,0.846575342
ccedisruption,periodic,phc,0,1,0.493243243,0.506756757,0.810958904
ccedisruption,periodic,phc,0,1,0.490196078,0.509803922,0.838356164
ccedisruption,periodic,phc,0,1,0.391025641,0.608974359,0.854794521
ccedisruption,periodic,phc,0,1,0.42192691,0.57807309,0.824657534
ccedisruption,periodic,phc,0,1,0.426229508,0.573770492,0.835616438
ccedisruption,periodic,phc,0,1,0.496644295,0.503355705,0.816438356
ccedisruption,periodic,phc,0,1,0.433021807,0.566978193,0.879452055
ccedisruption,periodic,phc,0,1,0.396666667,0.603333333,0.821917808
ccedisruption,periodic,phc,0,1,0.5,0.5,0.838356164
ccedisruption,periodic,phc,0,1,0.423208191,0.576791809,0.802739726
ccedisruption,periodic,phc,0,1,0.456953642,0.543046358,0.82739726
ccedisruption,periodic,phc,0,1,0.35620915,0.64379085,0.838356164
ccedisruption,periodic,phc,0,1,0.468438538,0.531561462,0.824657534
ccedisruption,periodic,phc,0,1,0.398026316,0.601973684,0.832876712
ccedisruption,periodic,phc,0,1,0.439344262,0.560655738,0.835616438
ccedisruption,periodic,phc,0,1,0.373333333,0.626666667,0.821917808
ccedisruption,periodic,phc,0,1,0.465189873,0.534810127,0.865753425
ccedisruption,periodic,phc,0,1,0.429012346,0.570987654,0.887671233
ccedisruption,periodic,phc,0,1,0.425396825,0.574603175,0.863013699
ccedisruption,periodic,phc,0,1,0.435897436,0.564102564,0.854794521
ccedisruption,periodic,phc,0,1,0.446601942,0.553398058,0.846575342
ccedisruption,periodic,phc,0,1,0.436241611,0.563758389,0.816438356
ccedisruption,periodic,phc,0,1,0.430420712,0.569579288,0.846575342
ccedisruption,periodic,phc,0,1,0.446254072,0.553745928,0.84109589
ccedisruption,periodic,phc,0,1,0.459283388,0.540716612,0.84109589
