scenario_name,ss_mode,ss_replenishment_source,phc_replenishment_disrupt,annual_cce_disruptions,phc,ss,overall
baseline,periodic,phc,0,0,0.41414141414141414,0.5858585858585859,0.8136986301369863
baseline,periodic,phc,0,0,0.4258064516129032,0.5741935483870968,0.8493150684931506
baseline,periodic,phc,0,0,0.4521452145214521,0.5478547854785478,0.8301369863013699
baseline,periodic,phc,0,0,0.4473684210526316,0.5526315789473685,0.8328767123287671
baseline,periodic,phc,0,0,0.44200626959247646,0.5579937304075235,0.873972602739726
baseline,periodic,phc,0,0,0.47540983606557374,0.5245901639344263,0.8356164383561644
baseline,periodic,phc,0,0,0.4234527687296417,0.5765472312703583,0.8410958904109589
baseline,periodic,phc,0,0,0.39869281045751637,0.6013071895424836,0.8383561643835616
baseline,periodic,phc,0,0,0.4090909090909091,0.5909090909090909,0.8438356164383561
baseline,periodic,phc,0,0,0.459546925566343,0.540453074433657,0.8465753424657534
baseline,periodic,phc,0,0,0.42810457516339867,0.5718954248366013,0.8383561643835616
baseline,periodic,phc,0,0,0.3920265780730897,0.6079734219269103,0.8246575342465754
baseline,periodic,phc,0,0,0.44694533762057875,0.5530546623794212,0.852054794520548
baseline,periodic,phc,0,0,0.4098360655737705,0.5901639344262295,0.8356164383561644
baseline,periodic,phc,0,0,0.4263322884012539,0.5736677115987461,0.873972602739726
baseline,periodic,phc,0,0,0.4253246753246753,0.5746753246753247,0.8438356164383561
baseline,periodic,phc,0,0,0.4281150159744409,0.5718849840255591,0.8575342465753425
baseline,periodic,phc,0,0,0.3980263157894737,0.6019736842105263,0.8328767123287671
baseline,periodic,phc,0,0,0.4139072847682119,0.5860927152317881,0.8273972602739726
baseline,periodic,phc,0,0,0.42207792207792205,0.577922077922078,0.8438356164383561
baseline,periodic,phc,0,0,0.44871794871794873,0.5512820512820513,0.8547945205479452
baseline,periodic,phc,0,0,0.4150326797385621,0.5849673202614379,0.8383561643835616
baseline,periodic,phc,0,0,0.4592833876221498,0.5407166123778502,0.8410958904109589
baseline,periodic,phc,0,0,0.45714285714285713,0.5428571428571428,0.863013698630137
baseline,periodic,phc,0,0,0.4364820846905538,0.5635179153094463,0.8410958904109589
baseline,periodic,phc,0,0,0.4723127035830619,0.5276872964169381,0.8410958904109589
baseline,periodic,phc,0,0,0.4444444444444444,0.5555555555555556,0.8383561643835616
baseline,periodic,phc,0,0,0.4504792332268371,0.549520766773163,0.8575342465753425
baseline,periodic,phc,0,0,0.4299363057324841,0.5700636942675159,0.8602739726027397
baseline,periodic,phc,0,0,0.41935483870967744,0.5806451612903226,0.8493150684931506
baseline,periodic,phc,0,0,0.4140127388535032,0.5859872611464968,0.8602739726027397
baseline,periodic,phc,0,0,0.42258064516129035,0.5774193548387097,0.8493150684931506
baseline,periodic,phc,0,0,0.45980707395498394,0.5401929260450161,0.852054794520548
baseline,periodic,phc,0,0,0.47572815533980584,0.5242718446601942,0.8465753424657534
baseline,periodic,phc,0,0,0.40604026845637586,0.5939597315436241,0.8164383561643835
baseline,periodic,phc,0,0,0.3927392739273927,0.6072607260726073,0.8301369863013699
baseline,periodic,phc,0,0,0.3967741935483871,0.603225806451613,0.8493150684931506
baseline,periodic,phc,0,0,0.4707792207792208,0.5292207792207793,0.8438356164383561
baseline,periodic,phc,0,0,0.44660194174757284,0.5533980582524272,0.8465753424657534
baseline,periodic,phc,0,0,0.4637223974763407,0.5362776025236593,0.8684931506849315
baseline,periodic,phc,0,0,0.44871794871794873,0.5512820512820513,0.8547945205479452
baseline,periodic,phc,0,0,0.4620253164556962,0.5379746835443038,0.8657534246575342
baseline,periodic,phc,0,0,0.4577922077922078,0.5422077922077922,0.8438356164383561
baseline,periodic,phc,0,0,0.40634920634920635,0.5936507936507937,0.863013698630137
baseline,periodic,phc,0,0,0.40716612377850164,0.5928338762214984,0.8410958904109589
baseline,periodic,phc,0,0,0.4065573770491803,0.5934426229508196,0.8356164383561644
baseline,periodic,phc,0,0,0.45484949832775917,0.5451505016722408,0.8191780821917808
baseline,periodic,phc,0,0,0.4272151898734177,0.5727848101265823,0.8657534246575342
baseline,periodic,phc,0,0,0.42105263157894735,0.5789473684210527,0.8849315068493151
baseline,periodic,phc,0,0,0.4380952380952381,0.5619047619047619,0.863013698630137
baseline,periodic,phc,0,0,0.4258064516129032,0.5741935483870968,0.8493150684931506
baseline,periodic,phc,0,0,0.4241486068111455,0.5758513931888545,0.8849315068493151
baseline,periodic,phc,0,0,0.4594594594594595,0.5405405405405406,0.810958904109589
baseline,periodic,phc,0,0,0.41533546325878595,0.5846645367412141,0.8575342465753425
baseline,periodic,phc,0,0,0.40192926045016075,0.5980707395498392,0.852054794520548
baseline,periodic,phc,0,0,0.45098039215686275,0.5490196078431373,0.8383561643835616
baseline,periodic,phc,0,0,0.46835443037974683,0.5316455696202531,0.8657534246575342
baseline,periodic,phc,0,0,0.4919093851132686,0.5080906148867314,0.8465753424657534
baseline,periodic,phc,0,0,0.39622641509433965,0.6037735849056604,0.8712328767123287
baseline,periodic,phc,0,0,0.48742138364779874,0.5125786163522013,0.8712328767123287
baseline,periodic,phc,0,0,0.45483870967741935,0.5451612903225806,0.8493150684931506
baseline,periodic,phc,0,0,0.4407894736842105,0.5592105263157895,0.8328767123287671
baseline,periodic,phc,0,0,0.45484949832775917,0.5451505016722408,0.8191780821917808
baseline,periodic,phc,0,0,0.4440789473684211,0.555921052631579,0.8328767123287671
baseline,periodic,phc,0,0,0.4205298013245033,0.5794701986754967,0.8273972602739726
