scenario_name,ss_mode,ss_replenishment_source,replenishmentdisruption,ccedisruption,phc,ss,overall
ccedisruption,periodic,phc,0,1,6,11,9
ccedisruption,periodic,phc,0,1,2,11.5,8
ccedisruption,periodic,phc,0,1,4,10,9
ccedisruption,periodic,phc,0,1,6.5,12,10
ccedisruption,periodic,phc,0,1,3,12,9
ccedisruption,periodic,phc,0,1,4.5,11.5,9
ccedisruption,periodic,phc,0,1,2,8,7
ccedisruption,periodic,phc,0,1,4.5,10,8
ccedisruption,periodic,phc,0,1,3,11,8
ccedisruption,periodic,phc,0,1,4,10,8
ccedisruption,periodic,phc,0,1,5,9,7
ccedisruption,periodic,phc,0,1,1.5,12,8
ccedisruption,periodic,phc,0,1,7,10,9.5
ccedisruption,periodic,phc,0,1,3.5,12,9
ccedisruption,periodic,phc,0,1,3,10,8
ccedisruption,periodic,phc,0,1,7,13,9.5
ccedisruption,periodic,phc,0,1,12.5,15,14
ccedisruption,periodic,phc,0,1,4.5,9,8
ccedisruption,periodic,phc,0,1,5,12,9
ccedisruption,periodic,phc,0,1,4,11,8
ccedisruption,periodic,phc,0,1,5,9,7
ccedisruption,periodic,phc,0,1,5,10,9
ccedisruption,periodic,phc,0,1,8,11,11
ccedisruption,periodic,phc,0,1,4,12,9
ccedisruption,periodic,phc,0,1,4,11,9
ccedisruption,periodic,phc,0,1,5,10,8
ccedisruption,periodic,phc,0,1,6,10,9
ccedisruption,periodic,phc,0,1,4,11,9
ccedisruption,periodic,phc,0,1,7,12.5,10
ccedisruption,periodic,phc,0,1,4,9,7
ccedisruption,periodic,phc,0,1,5,11,9
ccedisruption,periodic,phc,0,1,3,13,8
ccedisruption,periodic,phc,0,1,5,12,9
ccedisruption,periodic,phc,0,1,9,14,12
ccedisruption,periodic,phc,0,1,4,12,9
ccedisruption,periodic,phc,0,1,6,10,9
ccedisruption,periodic,phc,0,1,4,11,8
ccedisruption,periodic,phc,0,1,5,9,8
ccedisruption,periodic,phc,0,1,3,10,8
ccedisruption,periodic,phc,0,1,6,16,11.5
ccedisruption,periodic,phc,0,1,4,9,7
ccedisruption,periodic,phc,0,1,7,12,10
ccedisruption,periodic,phc,0,1,3,9,7
ccedisruption,periodic,phc,0,1,6,11,10
ccedisruption,periodic,phc,0,1,5,11.5,9
ccedisruption,periodic,phc,0,1,3.5,10,8
ccedisruption,periodic,phc,0,1,6,11,9
ccedisruption,periodic,phc,0,1,3,13.5,9
ccedisruption,periodic,phc,0,1,8,15,12
ccedisruption,periodic,phc,0,1,5,11,8
ccedisruption,periodic,phc,0,1,5,12,10
ccedisruption,periodic,phc,0,1,4,13,10
ccedisruption,periodic,phc,0,1,4,10,8
ccedisruption,periodic,phc,0,1,2.5,12,9
ccedisruption,periodic,phc,0,1,5.5,12,9.5
ccedisruption,periodic,phc,0,1,6,15,11.5
ccedisruption,periodic,phc,0,1,2,10,7
ccedisruption,periodic,phc,0,1,7,9,9
ccedisruption,periodic,phc,0,1,7.5,11,10
ccedisruption,periodic,phc,0,1,4.5,11.5,10
ccedisruption,periodic,phc,0,1,5,13,10
ccedisruption,periodic,phc,0,1,5,15,11
ccedisruption,periodic,phc,0,1,4,10,8
ccedisruption,periodic,phc,0,1,5,9.5,8
ccedisruption,periodic,phc,0,1,5.5,10,9
ccedisruption,periodic,phc,0,1,6.5,12,10
ccedisruption,periodic,phc,0,1,4,13,11
ccedisruption,periodic,phc,0,1,6,10,9
ccedisruption,periodic,phc,0,1,3,9,7
ccedisruption,periodic,phc,0,1,3,9,7
ccedisruption,periodic,phc,0,1,5,11,8
ccedisruption,periodic,phc,0,1,6,11,9
ccedisruption,periodic,phc,0,1,4,12,8.5
ccedisruption,periodic,phc,0,1,7,15,12
ccedisruption,periodic,phc,0,1,4,13,9
ccedisruption,periodic,phc,0,1,2,11,8
ccedisruption,periodic,phc,0,1,4,12,9
ccedisruption,periodic,phc,0,1,12,13,13
ccedisruption,periodic,phc,0,1,8,12,11
ccedisruption,periodic,phc,0,1,5,11.5,8
ccedisruption,periodic,phc,0,1,5,12,9
ccedisruption,periodic,phc,0,1,4.5,13,9
ccedisruption,periodic,phc,0,1,6.5,10,9
ccedisruption,periodic,phc,0,1,4,10.5,9
ccedisruption,periodic,phc,0,1,3,15,9.5
ccedisruption,periodic,phc,0,1,7,12,10
ccedisruption,periodic,phc,0,1,3,9,6
ccedisruption,periodic,phc,0,1,4,11,9
ccedisruption,periodic,phc,0,1,8,10,10
ccedisruption,periodic,phc,0,1,2,10.5,7
ccedisruption,periodic,phc,0,1,5,10,10
ccedisruption,periodic,phc,0,1,2,11,7
ccedisruption,periodic,phc,0,1,4,9,7
ccedisruption,periodic,phc,0,1,3,9,7
ccedisruption,periodic,phc,0,1,5,10.5,9
ccedisruption,periodic,phc,0,1,4,10,7
ccedisruption,periodic,phc,0,1,6,14,9
ccedisruption,periodic,phc,0,1,8,17,13
ccedisruption,periodic,phc,0,1,9.5,15,12.5
ccedisruption,periodic,phc,0,1,4,11,9
ccedisruption,periodic,phc,0,2,6,11,10
ccedisruption,periodic,phc,0,2,4,10,8
ccedisruption,periodic,phc,0,2,6,12,10
ccedisruption,periodic,phc,0,2,6,15,10
ccedisruption,periodic,phc,0,2,6,17,13
ccedisruption,periodic,phc,0,2,7,14,11
ccedisruption,periodic,phc,0,2,5,12,9
ccedisruption,periodic,phc,0,2,7,16,13
ccedisruption,periodic,phc,0,2,10,12,11
ccedisruption,periodic,phc,0,2,8,10,10
ccedisruption,periodic,phc,0,2,10,15,13
ccedisruption,periodic,phc,0,2,1,11,7
ccedisruption,periodic,phc,0,2,2,14,10
ccedisruption,periodic,phc,0,2,5,12.5,10
ccedisruption,periodic,phc,0,2,5,10,9
ccedisruption,periodic,phc,0,2,5,11,9
ccedisruption,periodic,phc,0,2,11,17,15
ccedisruption,periodic,phc,0,2,5,12,10
ccedisruption,periodic,phc,0,2,8,10,9
ccedisruption,periodic,phc,0,2,2,11,7
ccedisruption,periodic,phc,0,2,5,9,8
ccedisruption,periodic,phc,0,2,5.5,11,9
ccedisruption,periodic,phc,0,2,6,16,13.5
ccedisruption,periodic,phc,0,2,7,11,10
ccedisruption,periodic,phc,0,2,5,14,10
ccedisruption,periodic,phc,0,2,5.5,10,10
