scenario_name,ss_mode,ss_replenishment_source,phc_replenishment_disrupt,annual_cce_disruptions,phc,ss,overall
baseline,periodic,phc,0,0,3.0,12.5,8.0
baseline,periodic,phc,0,0,3.0,10.0,7.0
baseline,periodic,phc,0,0,3.0,9.0,6.0
baseline,periodic,phc,0,0,4.0,11.5,9.0
baseline,periodic,phc,0,0,3.0,10.0,7.0
baseline,periodic,phc,0,0,4.0,11.0,9.0
baseline,periodic,phc,0,0,4.0,8.0,7.0
baseline,periodic,phc,0,0,3.0,10.0,8.0
baseline,periodic,phc,0,0,5.0,8.0,7.0
baseline,periodic,phc,0,0,3.5,9.0,7.0
baseline,periodic,phc,0,0,6.0,12.0,12.0
baseline,periodic,phc,0,0,3.0,10.0,8.0
baseline,periodic,phc,0,0,7.0,12.0,10.0
baseline,periodic,phc,0,0,4.0,9.0,7.0
baseline,periodic,phc,0,0,5.0,9.0,8.0
baseline,periodic,phc,0,0,3.0,15.0,10.0
baseline,periodic,phc,0,0,3.0,12.0,8.0
baseline,periodic,phc,0,0,5.0,9.0,8.0
baseline,periodic,phc,0,0,4.0,9.0,7.0
baseline,periodic,phc,0,0,2.0,10.0,7.0
baseline,periodic,phc,0,0,3.0,9.0,8.0
baseline,periodic,phc,0,0,2.0,8.0,7.0
baseline,periodic,phc,0,0,4.0,15.0,9.0
baseline,periodic,phc,0,0,3.0,11.0,7.0
baseline,periodic,phc,0,0,3.0,9.0,7.0
baseline,periodic,phc,0,0,4.0,11.5,9.0
baseline,periodic,phc,0,0,3.0,11.0,8.0
baseline,periodic,phc,0,0,4.0,11.5,8.0
baseline,periodic,phc,0,0,4.0,10.0,8.0
baseline,periodic,phc,0,0,3.0,9.0,7.0
baseline,periodic,phc,0,0,2.0,10.0,7.0
baseline,periodic,phc,0,0,3.0,10.0,8.0
baseline,periodic,phc,0,0,3.0,8.5,7.0
baseline,periodic,phc,0,0,3.0,12.5,9.0
baseline,periodic,phc,0,0,3.0,9.0,9.0
baseline,periodic,phc,0,0,3.0,9.5,7.0
baseline,periodic,phc,0,0,4.0,10.0,9.0
baseline,periodic,phc,0,0,4.0,8.0,7.0
baseline,periodic,phc,0,0,5.0,10.0,9.0
baseline,periodic,phc,0,0,7.0,15.0,11.0
baseline,periodic,phc,0,0,4.0,9.0,7.0
baseline,periodic,phc,0,0,3.0,9.0,8.0
baseline,periodic,phc,0,0,4.0,11.0,9.0
baseline,periodic,phc,0,0,2.5,10.0,8.0
baseline,periodic,phc,0,0,3.0,8.5,7.0
baseline,periodic,phc,0,0,5.0,11.0,8.0
baseline,periodic,phc,0,0,4.0,10.0,7.0
baseline,periodic,phc,0,0,4.0,11.0,9.0
baseline,periodic,phc,0,0,5.0,10.0,8.0
baseline,periodic,phc,0,0,3.5,10.0,7.0
baseline,periodic,phc,0,0,4.0,11.0,8.0
baseline,periodic,phc,0,0,4.0,12.0,10.0
baseline,periodic,phc,0,0,5.0,9.0,8.0
baseline,periodic,phc,0,0,3.5,10.0,8.0
baseline,periodic,phc,0,0,4.0,11.0,9.0
baseline,periodic,phc,0,0,4.0,10.0,8.0
baseline,periodic,phc,0,0,3.0,11.0,8.0
baseline,periodic,phc,0,0,6.5,9.0,8.0
baseline,periodic,phc,0,0,8.0,11.0,10.0
baseline,periodic,phc,0,0,3.0,10.0,7.0
baseline,periodic,phc,0,0,5.0,10.0,9.0
baseline,periodic,phc,0,0,4.0,10.0,7.0
baseline,periodic,phc,0,0,4.0,10.0,8.0
baseline,periodic,phc,0,0,6.0,10.0,9.0
baseline,periodic,phc,0,0,4.0,11.0,8.0
baseline,periodic,phc,0,0,3.0,9.0,6.0
