index,Starting Capacity,Vaccination Session Site,Delay Session Site,Vaccination PHC,Delay PHC,Demand Real Session Site,Demand Served Session Site,Demand Unserved Session Site,Demand Real PHC,Demand Served PHC,Demand Unserved PHC
0,45.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,45.0,21.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2,44.0,21.0,19.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3,43.0,21.0,18.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4,42.0,21.0,17.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
5,41.0,21.0,16.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
6,40.0,21.0,15.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
7,39.0,21.0,14.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,38.0,21.0,13.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9,37.0,21.0,12.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
10,36.0,21.0,11.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
11,35.0,21.0,10.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
12,34.0,21.0,9.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
13,33.0,21.0,8.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
14,32.0,21.0,7.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
15,31.0,21.0,6.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
16,30.0,21.0,5.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
17,29.0,21.0,4.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
18,28.0,21.0,3.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
19,27.0,21.0,2.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
20,26.0,21.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
21,25.0,21.0,0.0,21.0,0.0,21.0,22.0,-1.0,1.0,1.0,0.0
22,2.0,49.0,27.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
23,1.0,49.0,26.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
24,0.0,49.0,25.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
25,0.0,49.0,24.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
26,0.0,49.0,23.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
27,0.0,49.0,22.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
28,44.0,49.0,21.0,28.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29,43.0,49.0,20.0,29.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
30,42.0,49.0,19.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
31,41.0,49.0,18.0,31.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
32,40.0,49.0,17.0,32.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
33,39.0,49.0,16.0,33.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
34,38.0,49.0,15.0,34.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
35,37.0,49.0,14.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
36,36.0,49.0,13.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
37,35.0,49.0,12.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
38,34.0,49.0,11.0,38.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
39,33.0,49.0,10.0,39.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
40,32.0,49.0,9.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
41,31.0,49.0,8.0,41.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
42,30.0,49.0,7.0,42.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
43,29.0,49.0,6.0,43.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
44,28.0,49.0,5.0,44.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
45,27.0,49.0,4.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
46,26.0,-1.0,-1.0,46.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
47,25.0,-1.0,-1.0,47.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
48,24.0,-1.0,-1.0,48.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
49,23.0,-1.0,-1.0,49.0,0.0,28.0,24.0,4.0,1.0,0.0,1.0
50,0.0,77.0,27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
51,0.0,77.0,26.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
52,0.0,77.0,25.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
53,0.0,77.0,24.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
54,0.0,77.0,23.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
55,0.0,77.0,22.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
56,44.0,77.0,21.0,56.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
