Latitude,Longitude,Location Name,Type,Level
17.335756,77.907491,Vikarabad,Area Hospital,4
17.25493,77.5859803,Tandur,District Hospital,4
17.265904,77.619613,Tandur,PP Unit,4
17.178704,77.881032,Pargi,Community Health Centre,3
17.109586,77.624014,Kodangal,Community Health Centre,3
17.539171,77.764847,Marpally,Community Health Centre,3
17.579466,77.796496,Patloor,PHC,2
17.517518,77.896492,Mominpet,PHC,2
17.427463,77.962284,Nawabpet,PHC,2
17.358712,77.991936,Siddaloor,PHC,2
17.255146,78.024649,Chengomul,PHC,2
17.2652832,77.9574019,Pudur,PHC,2
17.0157717,77.8758775,Kulkacherla,PHC,2
17.090412,77.836544,Doma,PHC,2
17.1244898,77.9682749,Chityal,PHC,2
17.303668,77.775383,Dharur,PHC,2
17.352184,77.723696,Nagasamander,PHC,2
17.4413519,77.7074837,Bantwaram,PHC,2
17.2132321,77.6435705,Yalal,PHC,2
17.3363137,77.6587352,Peddemul,PHC,2
17.384471,77.745344,Kotepally,PHC,2
17.086221,77.536656,Angadi Raichur,PHC,2
17.160565,77.739749,Bomraspet,PHC,2
17.220143,77.423865,Basheerabad,PHC,2
17.220143,77.423865,Navalga,PHC,2
17.009963,77.561473,Doulthabad,PHC,2
17.346473,77.544191,Gingurthy,PHC,2
17.093,77.6355,KODANGAL-1,AWC,1
17.1069,77.6244,KODANGAL-2,AWC,1
17.1038,77.6295,KODANGAL-3,AWC,1
17.0924,77.6362,KODANGAL-4,AWC,1
17.1171,77.6494,KODANGAL-5,AWC,1
17.112,77.6255,KODANGAL-6,AWC,1
17.1044,77.6323,KODANGAL-7,AWC,1
17.1069,77.6244,KODANGAL-8,AWC,1
17.1042,77.6219,KODANGAL-9,AWC,1
17.0924,77.6362,KODANGAL-10,AWC,1
17.1409,77.6054,KODANGAL-11,AWC,1
17.1069,77.6244,KODANGAL-12,AWC,1
17.095,77.6023,CHITLAPALLY-1,AWC,1
16.9873407,77.7109058,CHITLAPALLY-2,AWC,1
17.0957,77.6029,KHAJAAHMEDPALLY,AWC,1
17.102713,77.5975805,POSHAMMA TANDA,AWC,1
17.101,77.6156,KONDAREDDYPALLY,AWC,1
17.0957,77.6029,BULKA POOR,AWC,1
17.093739,77.5814639,INNANPALLY,AWC,1
17.0715,77.5929,CHINNA NANDIGAMA,AWC,1
17.08533,77.6391148,BURUJKHANPALLY,AWC,1
17.1104918,77.6218177,RAWALAPALLY-I,AWC,1
17.0472,77.5223,RAWALAPALLY-II,AWC,1
17.0559,77.4976,RAWALAPALLY-III,AWC,1
17.0472,77.5223,RAWALAPALLY-IV,AWC,1
17.0592,77.5083,INDANOOR-1,AWC,1
17.059,77.5082,INDANOOR-II,AWC,1
17.059,77.4961,KASTOORPALLY-1,AWC,1
17.0602,77.4921,KASTOORPALLY-II,AWC,1
17.1409,77.6054,UDMESHWARAM,AWC,1
17.1042,77.6219,ERRANPALLY-I,AWC,1
17.1502,77.5947,ERRANPALLY-II,AWC,1
17.0556,77.6522,HUSNABAD-1,AWC,1
17.0739,77.6814,HUSNABAD-2,AWC,1
17.0566,77.6546,HUSNABAD-3,AWC,1
17.0512,77.6503,HUSNABAD-4,AWC,1
17.051,77.6483,HUSNABAD-5,AWC,1
17.039,77.6468,ALID,AWC,1
17.0924,77.6362,PARSAPUR-1,AWC,1
17.1,77.6314,PARSAPUR-II,AWC,1
17.0843,77.6854,Gopya Thanda,AWC,1
17.0738,77.6815,PALGURALLA TANDA,AWC,1
17.0842,77.6822,YEKACHERU TANADA,AWC,1
17.0863,77.6517,PATTA KODANGAL,AWC,1
17.0936,77.6631,PATTA KODANGAL TANDA,AWC,1
17.0562,77.604,PEDDANANDIGAMA-I,AWC,1
17.0566,77.6076,PEDDANANDIGAMA-II,AWC,1
17.0807,77.633,GUNDLAKUNTA ,AWC,1
17.0957,77.6029,PIYALAMADDI,AWC,1
17.0693,77.6189,HUSSAINPUR,AWC,1
17.1328,77.5114,RUDRARAM-1,AWC,1
17.1353,77.5109,RUDRARAM-2,AWC,1
17.1349,77.5116,RUDRARAM-3,AWC,1
17.1333,77.5102,RUDRARAM-4,AWC,1
17.1354,77.511,RUDRARAM-5,AWC,1
17.1348,77.5093,RUDRARAM-6,AWC,1
17.1132,77.4789,BHAVANAMMA (T),AWC,1
17.1082,77.4663,BHEEMALI (T),AWC,1
17.1594,77.493,PATIMIDIPALLY,AWC,1
17.1040783,77.5202,UPPERPALLY,AWC,1
17.1426,77.5311,NASARAM,AWC,1
17.0582,77.4951,ANNARAM-I,AWC,1
17.0562,77.5434,ANNARAM-II,AWC,1
17.0576,77.4969,TEKULCODE-I,AWC,1
17.0595,77.4972,TEKULCODE-II,AWC,1
17.0576,77.4969,TEKULCODE (T),AWC,1
17.1019,77.4672,BOYAPALLY TANDA,AWC,1
17.0943,77.6016,LAXMIPALLY,AWC,1
17.0957,77.6029,SANSAIPALLY,AWC,1
17.0627,77.5499,ANGADIRAICHUR-I,AWC,1
17.0598,77.5488,ANGADIRAICHUR-II,AWC,1
17.0919,77.539,ANGADIRAICHUR-III,AWC,1
17.0598,77.5488,ANGADIRAICHUR-IV,AWC,1
17.0582,77.4951,DHARMAPUR,AWC,1
17.1592,77.7369,BOMRASPET -1,AWC,1
17.168,77.7404,BOMRASPET -1I,AWC,1
17.1708,77.7416,BOMRASPET -1II,AWC,1
17.1652,77.7393,BOMRASPET -1V,AWC,1
17.1669,77.7381,GAJULAKUNTA TANDA,AWC,1
17.1507,77.7459,METLAKUNTA - I,AWC,1
17.1579,77.785,METLAKUNTA - II,AWC,1
17.1507,77.7459,LUTKUNTA TANDA,AWC,1
17.1792,77.7771,MAISHAMMAGADDA TANDA,AWC,1
17.1507,77.7459,BHUJANNAGADDA (T),AWC,1
17.1507,77.7459,BURRAI TANADA,AWC,1
17.1579,77.785,DEPPLANAIK TANDA,AWC,1
17.1792,77.7771,Gubbadi Thanda,AWC,1
17.1767,77.7815,Buranpur - 1,AWC,1
17.1897281,77.7618374,Buranpur - 2,AWC,1
17.1235,77.6688,SURIYA NAIK TANDA,AWC,1
17.1863,77.7491,Thettakunta Thanda,AWC,1
